Destination,1990-1995_(mf),1995-2000_(mf),2000-2005_(mf),2005-2010_(mf),2010-2015_(mf),2015-2019_(mf),1990-1995_(m),1995-2000_(m),2000-2005_(m),2005-2010_(m),2010-2015_(m),2015-2019_(m),1990-1995_(f),1995-2000_(f),2000-2005_(f),2005-2010_(f),2010-2015_(f),2015-2019_(f)
Côte d'Ivoire,2.6752380236631246,0.8232220386895427,0.9164131192064422,0.8762642380178249,0.8394783578829347,0.8088704158570514,2.573972535700252,0.8137658841922922,0.9164218547512263,0.8697785480808927,0.8394664958867339,0.808882998628506,2.801839380862188,0.8349706749708107,0.9164022716259614,0.884315082770101,0.8394930771076021,0.8088548022437769
Gambia,4.896492801438381,3.8055157576702623,-0.06684619264416478,0.4197418982621967,0.7166451331969179,2.8055173784430867,4.260481020468999,3.3765641201329437,-0.18782976992975806,0.382069709997838,0.6844801156371327,2.804805778314227,5.681914860898987,4.3050201411111395,0.0699207381513721,0.4619707905041609,0.7525675769807368,2.806310730201283
Ghana,8.557381556693809,-5.549920574498534,9.260915994102287,2.033449794979452,4.15056176471785,2.9549148043318723,8.566205446436587,-5.398582440720206,9.54495306780551,2.723260446657012,4.14573054747639,3.0017937201363596,8.548423302227555,-5.704812781474872,8.963686569898266,1.274018634060743,4.1560754537946565,2.9013198837640726
Guinea,13.03495593547172,-6.483068245620263,-17.833682612550703,-5.092285168631054,-6.848631963782095,-1.1628308428308836,13.052599797177539,-6.512575813422643,-18.30883917031016,-3.692879273564281,-4.532746120274861,-1.1625181610415691,13.017392617913545,-6.4537127456061345,-17.372589020629828,-6.515849781090301,-9.726438103121332,-1.163273406051967
Guinea-Bissau,11.970465132778022,-6.256555992326919,0.2777687536210696,0.31103337578963924,1.1728483255798279,4.666387502193351,11.74532611685269,-6.181816937206604,0.279670131832033,0.017471488614123464,0.9825474464026115,4.555729557693049,12.193386270263954,-6.33000606763703,0.27589305482937465,0.596495703325296,1.353555349076704,4.770051266975835
Liberia,15.734865629163968,-6.344588627479755,-11.098900314627318,2.5671065092823078,2.7567187632531067,-4.6552137973675825,14.555329208286214,-6.141018527679543,-9.457674723965386,2.112484806615957,2.6298462125282285,-4.654790268720141,17.185948461653368,-6.581698435476217,-13.22203768941083,3.1960902836679574,2.926301291931966,-4.655775733087345
Mali,1.8356532683379043,1.4542231742712677,6.080575996129695,5.576396023672449,4.286966023293924,2.687640908318349,2.0424857721468412,1.4598548127096462,6.044300841499258,5.2645884610490645,4.288739847071669,2.6887325780773614,1.6176810528760504,1.4482231103700398,6.119163248659902,5.9022214798476655,4.285141601300404,2.6865179479996963
Mauritania,-4.4087571081401835,-8.909586590955874,0.2608167888310892,7.527500085202118,13.52879871880896,0.9477218548036485,-4.050350572994932,-8.224704121645805,0.8942525760329044,7.995645676492738,13.206255594216554,0.9634420587871669,-4.797471508842767,-9.694708784341769,-0.5196101587622581,6.913579683146738,13.955317418499972,0.927304802935702
Niger,4.692819586090978,-3.5489969553846383,0.3568497843632273,0.31930537733214603,13.86847801745173,3.7686413234943568,4.671406658176439,-3.623677385432637,0.3333353688793909,0.2895950867786679,13.83777494869185,3.768770902565809,4.71242804327207,-3.4809233265855046,0.3781836411281307,0.3461922728220576,13.89618357448022,3.7685245651487516
Nigeria,0.277423382059206,1.046973581572891,13.729887962200529,0.3960347444003821,3.8593871004760896,1.1668267838488713,0.14973128152872034,0.9178179874191114,14.73063471211514,0.39602892133251916,2.6699373420044497,1.1668467765641022,0.4394263052960071,1.2084730121608422,12.413601433255138,0.39604286088351914,5.407473372117113,1.16680248178191
Saint Helena,-8.392192309886578,-1.6008541534707272,8.232379473650854,8.393570907164397,8.376328825660572,3.4623135138619774,-9.039702474861146,-2.7524275575209542,6.635547846340104,9.400072584914712,12.255961067914638,4.624351956077144,-7.387202069320963,0,10.131224499590664,7.235800892110056,2.3556607131276692,0.9728854062418406
Senegal,1.2363808653479813,-4.308956250903558,0.5442286966309,1.4402952726512934,0.796449583851204,0.8070144255608704,1.1646443057975673,-3.8341197858409255,0.5459327533455985,1.6923945834361873,0.796842276070123,0.7993081609684403,1.3118032903228567,-4.818750832689616,0.542353416672901,1.1591169247626754,0.7960057072157322,0.8157224655645973
Sierra Leone,-16.262497097611224,-0.11033668373302605,7.9849378297104465,-12.276104321432832,-5.91561787717199,-1.9812386735816152,-15.742573711978691,-0.63680791070073,6.929710573946729,-11.315309687369234,-5.490793177020956,-1.838048481349841,-16.92561491164139,0.5608861365615325,9.217983337046554,-13.39291649878259,-6.4483677845680125,-2.1663698964366587
Togo,3.601238443054776,6.122911518005201,7.802248795905461,4.51495257691936,1.6504196984674813,0.1579446285939043,3.350331193309876,6.185401276643628,7.990688984773551,4.545490882845053,1.5162785614715397,0.31087265747387716,3.8546848171702437,6.060385154261313,7.611305567127438,4.4836654216080145,1.7871338833464312,0.0021762785650293365
NORTHERN AFRICA AND WESTERN ASIA,1.4280601742380712,1.4374869006878386,2.7195192804526656,6.710252255633501,5.1152566841920395,3.613014333920707,1.7203473269680327,1.7535317553952399,3.485151641697516,7.718722428464001,4.9975742910001,3.614556361874652,1.0245441781670308,0.9849037663788511,1.5464229207159885,4.973336046417671,5.330588544696996,3.6102159160656386
Northern Africa,-2.8739430127435144,-1.8213279345414162,-1.6795683954172247,2.176529300302255,1.8672480119640484,8.08714563856639,-2.140298982867496,-0.9085278270962217,-0.22409571231562425,1.9806851418020264,1.9788080016729028,6.845424369165147,-3.674022721699484,-2.9087076689686646,-3.665787485457518,2.464355706927418,1.7041455281666475,9.809690063249855
Algeria,-0.8898715074983218,-0.9313162523375952,-4.7311450293271475,1.887757430719518,1.9741846894273325,0.98283450748258,-0.8898824326331009,-0.9313282190166025,-4.730847680255538,1.1592846231178944,1.9572162593810296,0.9830104300641064,-0.8898582410441849,-0.9313017211487149,-4.731506107265549,2.738120062635348,1.993208977481912,0.9826374464304501
