Destination,1990_est_(mf),1995_est_(mf),2000_est_(mf),2005_est_(mf),2010_est_(mf),2015_est_(mf),2019_est_(mf),1990_pct_(mf),1995_pct_(mf),2000_pct_(mf),2005_pct_(mf),2010_pct_(mf),2015_pct_(mf),2019_pct_(mf),1990-1995_annual_rc_(mf),1995-2000_annual_rc_(mf),2000-2005_annual_rc_(mf),2005-2010_annual_rc_(mf),2010-2015_annual_rc_(mf),2015-2019_annual_rc_(mf)
Bangladesh,73,10996,21919,125586,229253,232584,932334,0.008280239605180026,1.176376192182811,2.218852400104064,10.764206736950372,17.037916206506505,16.3468641170083,42.65778067754905,100.2965481627349,13.796445405964308,34.91273884504099,12.036708286963558,0.28850505797833276,34.71099173712693
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
India,212743,227480,171000,139586,188567,207861,207619,2.8011662188383872,3.2720398812583804,2.667152889158273,2.3563014173831798,3.466459353522712,3.966086365856637,4.027732161699035,1.3395491598819724,-5.707975318718783,-4.059653154727392,6.015449652691098,1.9483241135658425,-0.02912294543261421
Iran (Islamic Republic of),3512201,2071988,1851844,974302,1073366,982085,979519,81.8389454192037,70.53172788756251,66.04753183620117,37.926374015640754,38.86808946099688,36.021045913689015,36.519047324337286,-10.554687472134583,-2.2465326691969234,-12.844317224239038,1.936669340096223,-1.7775384307296669,-0.06540569512536015
Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Nepal,17325,124754,129237,126436,87514,32684,21607,4.029313400345138,18.07439603027998,18.002089427496866,18.608388757493117,15.123639738221433,6.415281733405827,4.402386298344343,39.48386506339749,0.7060825962673872,-0.43823353541152504,-7.358749414474013,-19.698262380849457,-10.346708131473196
Pakistan,3265845,1202493,2001466,1084694,1900621,1567604,1396619,52.60531065022992,32.77165612698634,47.86006974800044,34.20526171726689,48.21970140953413,44.70540592952557,42.86766208979926,-19.98243265964054,10.189660205432723,-12.251639849625484,11.217655106220718,-3.8526467172996806,-2.887350580154424
Sri Lanka,15,16,39,227,361,1392,1434,0.0360915281153004,0.03917631791581989,0.09717930828266719,0.5743055204169407,0.9266151595266818,3.505767390318844,3.5833874756359636,1.2907704227514232,17.819458477797305,35.227767427035126,9.278558817029564,26.99237765122968,0.7431545066300173
EASTERN AND SOUTH-EASTERN ASIA,460736,466010,612677,465074,497535,628284,644936,6.739964206520827,5.58777985962743,5.831568980332778,3.5920852923496045,3.159335312451522,3.5150556526421157,3.524889363511785,0.22763764552060162,5.472615742825824,-5.512826951064974,1.349387463439244,4.666527753196755,0.6539698380938433
Eastern Asia,302759,300610,298488,300444,304809,326732,367613,7.646846662992584,6.479014274263544,5.5347261007038,4.823555023822046,4.315863146434697,4.278614639862228,4.535204824616161,-0.14246731848007385,-0.14168025091461406,0.130632990321017,0.28847940800032373,1.3890982412711523,2.947262284592675
